pctredmsy,pctredmey,eqm_yield,eqm_profit,pctredmsy_incr,pctredmey_incr,marg_yieldloss,marg_cost,pctred,marg_pctred,species,shortfall_msy,shortfall_mey,tgt_shortfall_msy,tgt_shortfall_mey
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-21.095754977397334,17.84504623215623,2.2204975039699826,3374056.6207754714,0.0,1.0,Humpback dolphin,59.17625033343441,20.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-20.095754977397334,18.84504623215623,2.561974186627899,3354005.9113281947,1.0,1.0,Humpback dolphin,58.17625033343441,19.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-19.095754977397334,19.84504623215623,2.9698315901729653,3333513.6842995216,2.0,1.0,Humpback dolphin,57.17625033343441,18.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-18.095754977397334,20.84504623215623,3.4534799407933816,3312502.373757297,3.0,1.0,Humpback dolphin,56.17625033343441,17.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-17.095754977397334,21.84504623215623,4.022582679233131,3290882.1370492913,4.0,1.0,Humpback dolphin,55.17625033343441,16.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-16.095754977397334,22.84504623215623,4.6869185659952635,3268549.208993057,5.0,1.0,Humpback dolphin,54.17625033343441,15.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-15.095754977397334,23.84504623215623,5.456236098426642,3245383.9260323266,6.0,1.0,Humpback dolphin,53.17625033343441,14.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-14.095754977397336,24.84504623215623,6.34010086785145,3221248.3030714975,7.0,1.0,Humpback dolphin,52.17625033343441,13.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-13.095754977397336,25.84504623215623,7.347736376747961,3195982.9896034333,8.0,1.0,Humpback dolphin,51.17625033343441,12.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-12.095754977397336,26.84504623215623,8.48785875467605,3169403.341458908,9.0,1.0,Humpback dolphin,50.17625033343441,11.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-11.095754977397336,27.84504623215623,9.76850574879738,3141294.193817783,10.0,1.0,Humpback dolphin,49.17625033343441,10.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-10.095754977397336,28.84504623215623,11.19686031502714,3111402.6588668437,11.0,1.0,Humpback dolphin,48.17625033343441,9.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-9.095754977397336,29.84504623215623,12.779069095711113,3079427.792088074,12.0,1.0,Humpback dolphin,47.17625033343441,8.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-8.095754977397338,30.84504623215623,14.520056036741307,3045005.0421598842,13.0,1.0,Humpback dolphin,46.17625033343441,7.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-7.095754977397338,31.84504623215623,16.42333136968276,3007681.4674235107,14.0,1.0,Humpback dolphin,45.17625033343441,6.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-6.095754977397338,32.84504623215623,18.490796161420533,2966873.315994551,15.0,1.0,Humpback dolphin,44.17625033343441,5.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-5.095754977397338,33.84504623215623,20.722542614303006,2921786.427788078,16.0,1.0,Humpback dolphin,43.17625033343441,4.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-4.095754977397338,34.84504623215623,23.116650282963008,2871247.024232579,17.0,1.0,Humpback dolphin,42.17625033343441,3.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-3.095754977397338,35.84504623215623,25.668978359514355,2813269.6141695078,18.0,1.0,Humpback dolphin,41.17625033343442,2.235449123880848,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-2.095754977397338,36.84504623215623,28.37295416618615,2743548.857062908,19.0,1.0,Humpback dolphin,40.17625033343442,1.2354491238808478,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-1.0957549773973378,37.84504623215623,31.219357983421446,2926867.9178297548,20.0,1.0,Humpback dolphin,39.17625033343442,0.23544912388084782,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,-0.09575497739733792,38.84504623215623,34.19610433168464,2874813.768855672,21.0,1.0,Humpback dolphin,38.17625033343442,-0.7645508761191522,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,0.904245022602662,39.84504623215623,37.288019816611396,2816744.021352437,22.0,1.0,Humpback dolphin,37.17625033343442,-1.7645508761191522,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,1.9042450226026622,40.84504623215623,40.47661763942766,2751456.5890847184,23.0,1.0,Humpback dolphin,36.17625033343442,-2.764550876119152,59.17625033343441,20.235449123880848
-21.095754977397334,17.84504623215623,27.99795138397803,-169536098.92553347,2.904245022602662,41.84504623215623,43.73986886766128,2677290.831032917,24.0,1.0,Humpback dolphin,35.17625033343442,-3.764550876119152,59.17625033343441,20.235449123880848
